"Analytics Report"
"Month","April"
"Year","2026"
"Generated At","14 Apr 2026, 03:21 pm"

"Summary"
"Metric","Value"
"Total Revenue","245039.55"
"Total Orders","138"
"Total Items","672"

"Daily Sales"
"Day","Revenue"
"8","12754.35"
"9","42417.9"
"10","4645.2"
"11","102596.55"
"12","37655.1"
"13","34729.8"
"14","10240.65"

"Hourly Sales"
"Hour","Revenue"
"8","5353.95"
"10","33304.95"
"11","8579.55"
"12","16680.3"
"13","41727"
"14","13128.15"
"15","17862.600000000002"
"16","45176.25"
"17","8374.8"
"18","32529"
"19","20650.35"
"20","1002.75"
"21","669.9"

"Payment Distribution"
"Payment Type","Revenue"
"","49010.85"
"","189190.05"
"","6838.65"

"Order Type Distribution"
"Order Type","Revenue"
"takeaway","31753.05"
"dine-in","213286.5"

"Top Products"
"Product Name","Revenue"
"","58677"
"","49624"
"","22360"
"","20227"
"","17539"
"","17430"
"","15937"
